(frozenset({'下午', '晴', '四岔路', '男'}), frozenset({'平日', '交叉路口內'}), 1066, 0.5520455722423615)
(frozenset({'下午', '晴', '四岔路', '男', '平日'}), frozenset({'交叉路口內'}), 1066, 0.7125668449197861)
(frozenset({'20-40歲', '下午', '普通重型機車', '男', '平日'}), frozenset({'晴'}), 1071, 0.6769911504424779)
(frozenset({'20-40歲', '下午', '普通重型機車', '男'}), frozenset({'晴', '平日'}), 1071, 0.5129310344827587)
(frozenset({'20-40歲', '下午', '晴', '男', '平日'}), frozenset({'普通重型機車'}), 1071, 0.62889019377569)
(frozenset({'20-40歲', '下午', '晴', '普通重型機車', '平日'}), frozenset({'男'}), 1071, 0.7207267833109018)
(frozenset({'20-40歲', '下午', '晴', '普通重型機車'}), frozenset({'男', '平日'}), 1071, 0.5581031787389266)
(frozenset({'20-40歲', '下午', '晴', '普通重型機車', '男'}), frozenset({'平日'}), 1071, 0.7660944206008584)
(frozenset({'20-40歲', '男', '平日', '晚上', '交叉路口內'}), frozenset({'四岔路'}), 1002, 0.6858316221765913)
(frozenset({'20-40歲', '男', '晚上', '交叉路口內'}), frozenset({'平日', '四岔路'}), 1002, 0.507085020242915)
(frozenset({'20-40歲', '四岔路', '平日', '晚上', '交叉路口內'}), frozenset({'男'}), 1002, 0.7056338028169014)
(frozenset({'20-40歲', '四岔路', '晚上', '交叉路口內'}), frozenset({'男', '平日'}), 1002, 0.5312831389183457)
(frozenset({'20-40歲', '四岔路', '平日', '晚上'}), frozenset({'男', '交叉路口內'}), 1002, 0.5226917057902973)
(frozenset({'20-40歲', '四岔路', '男', '晚上', '交叉路口內'}), frozenset({'平日'}), 1002, 0.7528174305033809)
(frozenset({'20-40歲', '四岔路', '男', '晚上'}), frozenset({'平日', '交叉路口內'}), 1002, 0.5635545556805399)
(frozenset({'20-40歲', '四岔路', '男', '平日', '晚上'}), frozenset({'交叉路口內'}), 1002, 0.746090841399851)
(frozenset({'普通重型機車', '男', '平日', '晚上', '交叉路口內'}), frozenset({'四岔路'}), 1120, 0.6599882144961697)
(frozenset({'四岔路', '男', '平日', '晚上', '交叉路口內'}), frozenset({'普通重型機車'}), 1120, 0.5283018867924528)
(frozenset({'四岔路', '普通重型機車', '平日', '晚上', '交叉路口內'}), frozenset({'男'}), 1120, 0.7249190938511327)
(frozenset({'四岔路', '普通重型機車', '晚上', '交叉路口內'}), frozenset({'男', '平日'}), 1120, 0.5572139303482587)
(frozenset({'四岔路', '普通重型機車', '平日', '晚上'}), frozenset({'男', '交叉路口內'}), 1120, 0.5498281786941581)
(frozenset({'四岔路', '普通重型機車', '男', '晚上', '交叉路口內'}), frozenset({'平日'}), 1120, 0.7588075880758808)
(frozenset({'四岔路', '普通重型機車', '男', '晚上'}), frozenset({'平日', '交叉路口內'}), 1120, 0.576725025746653)
(frozenset({'四岔路', '普通重型機車', '男', '平日', '晚上'}), frozenset({'交叉路口內'}), 1120, 0.7593220338983051)
(frozenset({'四岔路', '男', '平日', '晚上', '交叉路口內'}), frozenset({'晴'}), 1179, 0.5561320754716981)
(frozenset({'晴', '男', '平日', '晚上', '交叉路口內'}), frozenset({'四岔路'}), 1179, 0.6579241071428571)
(frozenset({'晴', '四岔路', '平日', '晚上', '交叉路口內'}), frozenset({'男'}), 1179, 0.6914956011730206)
(frozenset({'晴', '四岔路', '晚上', '交叉路口內'}), frozenset({'男', '平日'}), 1179, 0.5184696569920845)
(frozenset({'晴', '四岔路', '平日', '晚上'}), frozenset({'男', '交叉路口內'}), 1179, 0.5055746140651801)
(frozenset({'晴', '四岔路', '男', '晚上', '交叉路口內'}), frozenset({'平日'}), 1179, 0.7443181818181818)
(frozenset({'晴', '四岔路', '男', '晚上'}), frozenset({'平日', '交叉路口內'}), 1179, 0.5543018335684062)
(frozenset({'晴', '四岔路', '男', '平日', '晚上'}), frozenset({'交叉路口內'}), 1179, 0.7359550561797753)
(frozenset({'普通重型機車', '男', '平日', '晚上', '交叉路口內'}), frozenset({'晴'}), 1005, 0.5922215674720094)
(frozenset({'晴', '男', '平日', '晚上', '交叉路口內'}), frozenset({'普通重型機車'}), 1005, 0.5608258928571429)
(frozenset({'晴', '普通重型機車', '平日', '晚上', '交叉路口內'}), frozenset({'男'}), 1005, 0.7341124908692477)
(frozenset({'晴', '普通重型機車', '晚上', '交叉路口內'}), frozenset({'男', '平日'}), 1005, 0.5564784053156147)
(frozenset({'晴', '普通重型機車', '男', '晚上', '交叉路口內'}), frozenset({'平日'}), 1005, 0.7449962935507783)
(frozenset({'晴', '普通重型機車', '男', '平日', '晚上'}), frozenset({'20-40歲'}), 1230, 0.5631868131868132)
(frozenset({'20-40歲', '普通重型機車', '男', '平日', '晚上'}), frozenset({'晴'}), 1230, 0.5702364394993046)
(frozenset({'20-40歲', '晴', '男', '平日', '晚上'}), frozenset({'普通重型機車'}), 1230, 0.643305439330544)
(frozenset({'20-40歲', '晴', '普通重型機車', '平日', '晚上'}), frozenset({'男'}), 1230, 0.7176196032672112)
(frozenset({'20-40歲', '晴', '普通重型機車', '晚上'}), frozenset({'男', '平日'}), 1230, 0.5578231292517006)
(frozenset({'20-40歲', '晴', '普通重型機車', '男', '晚上'}), frozenset({'平日'}), 1230, 0.7654013690105788)
(frozenset({'女', '晴', '直路', '普通重型機車', '平日'}), frozenset({'一般車道(未劃分快慢車道)'}), 1009, 0.8059105431309904)
(frozenset({'女', '直路', '普通重型機車', '平日'}), frozenset({'晴', '一般車道(未劃分快慢車道)'}), 1009, 0.5465872156013001)
(frozenset({'女', '晴', '直路', '普通重型機車'}), frozenset({'平日', '一般車道(未劃分快慢車道)'}), 1009, 0.6713240186294078)
(frozenset({'一般車道(未劃分快慢車道)', '女', '直路', '普通重型機車', '平日'}), frozenset({'晴'}), 1009, 0.6785474108944183)
(frozenset({'一般車道(未劃分快慢車道)', '女', '普通重型機車', '平日'}), frozenset({'晴', '直路'}), 1009, 0.6133738601823708)
