發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
106,8,16,8,33,2,07信義區,信義區忠孝東路5段71巷與忠孝東路5段口口,0,1,2,C03,2,35,2,8,50,3,1
106,8,16,10,37,2,07信義區,信義區信義快速道路往北隧道出口處,0,1,1,B03,2,47,2,8,40,6,7
106,8,16,10,37,2,07信義區,信義區信義快速道路往北隧道出口處,0,1,2,,3,0,,8,40,6,7
106,10,26,10,22,2,07信義區,信義區松仁路信義國中站牌,0,1,2,C03,1,25,4,8,50,14,8
106,10,26,10,22,2,07信義區,信義區松仁路信義國中站牌,0,1,3,H02,2,51,2,8,50,14,8
106,10,26,10,22,2,07信義區,信義區松仁路信義國中站牌,0,1,4,H02,2,27,4,8,50,14,8
106,10,26,10,22,2,07信義區,信義區松仁路信義國中站牌,0,1,1,A02,1,57,3,8,50,14,8
106,9,17,22,40,2,07信義區,信義區忠孝東路5段215巷與忠孝東路5段口,0,1,1,B02,1,42,4,8,50,3,1
106,9,17,22,40,2,07信義區,信義區忠孝東路5段215巷與忠孝東路5段口,0,1,2,H01,2,22,2,8,50,3,1
106,9,19,10,40,2,07信義區,信義區忠孝東路5段790巷22弄與忠孝東路5段790巷口,0,1,1,C03,2,35,2,8,30,4,1
106,9,19,10,40,2,07信義區,信義區忠孝東路5段790巷22弄與忠孝東路5段790巷口,0,1,2,B12,1,33,3,8,30,4,1
106,9,20,8,38,2,07信義區,信義區東興路37號,0,1,1,F01,2,43,2,8,50,14,9
106,9,20,8,38,2,07信義區,信義區東興路37號,0,1,2,B03,1,33,3,8,50,14,9
106,8,31,13,50,2,07信義區,信義區基隆路1段與忠孝東路5段口,0,2,1,C03,1,20,2,8,50,14,9
106,8,31,13,50,2,07信義區,信義區基隆路1段與忠孝東路5段口,0,2,2,C03,1,26,2,8,50,14,9
106,9,1,16,25,2,07信義區,信義區忠孝東路5段236巷2弄內,0,1,1,C03,1,28,2,6,40,14,9
106,9,1,16,25,2,07信義區,信義區忠孝東路5段236巷2弄內,0,1,2,,3,0,,6,40,14,9
106,9,1,22,40,2,07信義區,信義區信義路5段106號前,0,1,1,C03,1,16,2,6,50,14,8
106,9,3,10,9,2,07信義區,信義區永吉路200巷81弄13號前,0,1,2,C03,1,28,2,7,50,14,9
106,9,6,7,52,2,07信義區,信義區市民大道6段與東興路口,0,1,1,C03,1,63,2,8,50,4,1
106,9,6,7,52,2,07信義區,信義區市民大道6段與東興路口,0,1,2,B03,1,41,3,8,50,4,1
106,9,7,14,35,2,07信義區,信義區松仁路7號前,0,1,1,B03,2,57,3,8,50,14,8
106,9,7,14,35,2,07信義區,信義區松仁路7號前,0,1,2,C03,1,24,2,8,50,14,8
106,9,6,23,30,2,07信義區,信義區松智路與松勤街口口,0,2,1,C03,1,54,2,8,50,4,1
106,9,6,23,30,2,07信義區,信義區松智路與松勤街口口,0,2,2,C03,1,27,2,8,50,4,1
106,9,9,9,0,2,07信義區,信義區林口街10巷與福德街84巷3弄口口,0,2,1,C04,2,29,2,8,40,4,1
106,9,9,9,0,2,07信義區,信義區林口街10巷與福德街84巷3弄口口,0,2,2,C03,2,53,2,8,40,4,1
