發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
106,1,3,8,58,2,01大同區,大同區大龍街85巷,0,1,1,F01,2,70,2,8,50,14,9
106,1,3,8,58,2,01大同區,大同區大龍街85巷,0,1,2,C03,1,38,3,8,50,14,9
106,1,4,9,14,2,01大同區,大同區環河北路1段87號,0,1,1,B03,1,38,3,8,50,14,9
106,1,4,9,14,2,01大同區,大同區環河北路1段87號,0,1,2,C04,2,56,2,8,50,14,9
106,1,9,15,36,2,01大同區,大同區鄭州路與西寧北路口,0,1,1,C03,1,21,2,8,40,4,2
106,1,9,15,36,2,01大同區,大同區鄭州路與西寧北路口,0,1,2,C03,2,21,3,8,40,4,2
106,1,14,13,21,2,01大同區,大同區南京西路302巷,0,2,1,C03,1,19,2,7,50,4,1
106,1,14,13,21,2,01大同區,大同區南京西路302巷,0,2,2,C03,1,21,2,7,50,4,1
106,1,14,17,30,2,01大同區,大同區承德路3段32號,0,1,1,C03,1,55,2,7,50,14,9
106,1,14,17,30,2,01大同區,大同區承德路3段32號,0,1,2,B03,2,50,3,7,50,14,9
106,1,6,19,45,2,01大同區,大同區延平北路1段與南京西路口,0,2,1,C03,1,21,2,8,50,4,1
106,1,6,19,45,2,01大同區,大同區延平北路1段與南京西路口,0,2,2,C03,2,28,2,8,50,4,1
106,1,13,9,20,2,01大同區,大同區長安西路與塔城街口,0,1,1,F01,1,106,4,6,0,4,2
106,1,13,9,20,2,01大同區,大同區長安西路與塔城街口,0,1,2,C03,1,32,2,6,0,4,2
106,2,8,19,5,2,01大同區,大同區鄭州路與塔城街口,0,3,1,C03,1,44,2,6,40,5,2
106,2,8,19,5,2,01大同區,大同區鄭州路與塔城街口,0,3,2,C03,1,34,2,6,40,5,2
106,2,8,19,5,2,01大同區,大同區鄭州路與塔城街口,0,3,3,B03,1,50,3,6,40,5,2
106,2,8,19,5,2,01大同區,大同區鄭州路與塔城街口,0,3,4,C03,1,27,2,6,40,5,2
106,2,11,11,50,2,01大同區,大同區重慶北路2段227號與重慶北路2段口,0,2,1,B03,1,33,3,8,50,5,2
106,2,11,11,50,2,01大同區,大同區重慶北路2段227號與重慶北路2段口,0,2,2,C03,1,38,2,8,50,5,2
106,2,11,11,50,2,01大同區,大同區重慶北路2段227號與重慶北路2段口,0,2,3,H02,2,60,2,8,50,5,2
106,2,14,23,27,2,01大同區,大同區酒泉街與重慶北路3段口,0,1,1,B03,1,31,3,8,50,5,2
106,2,14,23,27,2,01大同區,大同區酒泉街與重慶北路3段口,0,1,2,H01,2,45,2,8,50,5,2
106,1,3,7,50,2,01大同區,大同區重慶北路2段與民權西路口,0,1,1,C03,1,49,3,8,50,5,2
106,1,3,7,50,2,01大同區,大同區重慶北路2段與民權西路口,0,1,2,C03,1,33,2,8,50,5,2
106,1,3,7,50,2,01大同區,大同區重慶北路2段與民權西路口,0,1,3,C03,2,19,3,8,50,5,2
106,1,3,16,40,2,01大同區,大同區承德路1段與鄭州路1段口,0,1,1,B03,1,21,3,8,40,5,1
106,1,3,16,40,2,01大同區,大同區承德路1段與鄭州路1段口,0,1,2,C05,2,37,2,8,40,5,1
106,1,4,8,45,2,01大同區,大同區延平北路3段69號,0,1,1,B03,1,53,3,8,50,5,2
106,1,4,8,45,2,01大同區,大同區延平北路3段69號,0,1,2,C03,1,28,2,8,50,5,2
106,1,7,18,37,2,01大同區,大同區環河北路2段18標高速公路下方,0,1,1,C03,1,32,2,8,0,5,1
106,1,7,18,37,2,01大同區,大同區環河北路2段18標高速公路下方,0,1,2,B03,1,44,3,8,0,5,1
106,1,9,14,22,2,01大同區,大同區鄭州路131號北門捷運站2號出口,0,1,1,B03,1,24,3,8,50,5,2
106,1,9,14,22,2,01大同區,大同區鄭州路131號北門捷運站2號出口,0,1,2,C03,1,39,2,8,50,5,2
106,1,9,14,22,2,01大同區,大同區鄭州路131號北門捷運站2號出口,0,1,3,B01,1,53,3,8,50,5,2
106,1,17,23,17,2,01大同區,大同區延平北路2段272巷46號,0,2,1,C03,2,25,2,8,30,5,2
106,1,17,23,17,2,01大同區,大同區延平北路2段272巷46號,0,2,2,C03,1,33,2,8,30,5,2
106,1,18,22,25,2,01大同區,大同區承德路3段221號,0,3,1,C03,1,20,2,8,50,5,2
106,1,18,22,25,2,01大同區,大同區承德路3段221號,0,3,2,C03,2,23,2,8,50,5,2
106,1,18,22,25,2,01大同區,大同區承德路3段221號,0,3,3,H02,2,19,2,8,50,5,2
106,1,7,15,4,2,01大同區,大同區重慶北路2段64巷,0,1,1,C03,1,36,2,8,50,4,1
106,1,7,15,4,2,01大同區,大同區重慶北路2段64巷,0,1,2,B02,1,52,3,8,50,4,1
106,1,9,9,45,2,01大同區,大同區西寧北路與鄭州路口,0,2,1,C03,1,21,2,8,50,4,1
106,1,9,9,45,2,01大同區,大同區西寧北路與鄭州路口,0,2,2,C03,1,19,2,8,50,4,1
106,1,12,18,38,2,01大同區,大同區市民大道1段京站停車場入口前,0,1,1,B03,1,35,4,8,0,14,9
106,1,12,18,38,2,01大同區,大同區市民大道1段京站停車場入口前,0,1,2,C03,2,24,2,8,0,14,9
106,1,13,21,35,2,01大同區,大同區承德路3段206號,0,1,1,B01,1,54,3,6,50,14,9
106,1,13,21,35,2,01大同區,大同區承德路3段206號,0,1,2,C03,1,29,2,6,50,14,9
106,1,9,14,5,2,01大同區,大同區南京西路與太原路口,0,1,1,B03,1,78,3,8,50,4,1
106,1,9,14,5,2,01大同區,大同區南京西路與太原路口,0,1,2,C04,1,72,2,8,50,4,1
106,1,4,14,30,2,01大同區,大同區民生西路與承德路2段口,0,2,1,C03,1,20,2,8,50,4,1
106,1,4,14,30,2,01大同區,大同區民生西路與承德路2段口,0,2,2,B01,1,64,3,8,50,4,1
106,1,4,14,30,2,01大同區,大同區民生西路與承德路2段口,0,2,3,B03,1,39,3,8,50,4,1
106,1,4,14,30,2,01大同區,大同區民生西路與承德路2段口,0,2,4,H02,2,56,2,8,50,4,1
106,1,10,22,0,2,01大同區,大同區延平北路2段與保安街口,0,1,1,C03,2,34,4,7,50,3,1
106,1,10,22,0,2,01大同區,大同區延平北路2段與保安街口,0,1,2,C03,2,48,2,7,50,3,1
106,5,19,16,18,2,01大同區,大同區延平北路4段282巷,0,2,1,C03,1,54,2,7,50,3,1
106,5,19,16,18,2,01大同區,大同區延平北路4段282巷,0,2,2,H01,1,54,2,7,50,3,1
106,3,6,13,30,2,01大同區,大同區民權西路104號,0,1,2,C03,1,24,2,7,50,14,9
106,3,6,13,30,2,01大同區,大同區民權西路104號,0,1,1,C03,1,38,4,7,50,14,9
106,4,5,19,54,2,01大同區,大同區承德路3段與民族西路口,0,3,1,B03,1,27,2,7,50,4,1
106,4,5,19,54,2,01大同區,大同區承德路3段與民族西路口,0,3,3,C03,2,49,2,7,50,4,1
106,2,16,19,20,2,01大同區,大同區通河西街1段明倫高中後方堤外便道,0,2,2,F01,1,75,2,8,30,3,1
106,2,6,9,43,2,01大同區,大同區鄭州路與塔城街口,0,1,1,C03,1,24,3,8,40,4,2
106,2,6,9,43,2,01大同區,大同區鄭州路與塔城街口,0,1,2,C03,1,24,2,8,40,4,2
106,2,10,19,15,2,01大同區,大同區鄭州路109號,0,1,1,C03,1,29,2,7,40,3,1
106,2,10,19,15,2,01大同區,大同區鄭州路109號,0,1,2,C03,2,35,3,7,40,3,1
106,2,13,12,22,2,01大同區,大同區承德路3段45號,0,1,1,B03,1,72,3,8,50,14,9
106,2,13,12,22,2,01大同區,大同區承德路3段45號,0,1,2,C03,1,18,2,8,50,14,9
106,2,17,6,5,2,01大同區,大同區民權西路184巷26號與民權西路184巷口,0,1,1,B01,1,66,3,7,30,4,1
106,1,4,12,37,2,01大同區,大同區環河北路1段與鄭州路口,0,1,1,B12,2,39,3,8,50,4,1
106,1,4,12,37,2,01大同區,大同區環河北路1段與鄭州路口,0,1,2,C03,2,55,2,8,50,4,1
106,1,3,15,5,2,01大同區,大同區重慶北路2段與南京西路口,0,1,1,B03,1,41,3,8,50,4,1
106,1,3,15,5,2,01大同區,大同區重慶北路2段與南京西路口,0,1,2,C03,1,35,2,8,50,4,1
106,1,9,9,32,2,01大同區,大同區南京西路155巷,0,1,1,C03,1,19,3,8,50,4,2
106,1,9,9,32,2,01大同區,大同區南京西路155巷,0,1,2,H01,2,25,2,8,50,4,2
106,1,14,15,58,2,01大同區,大同區延平北路3段56號與延平北路3段口,0,1,1,B03,1,34,3,8,50,3,1
106,1,14,15,58,2,01大同區,大同區延平北路3段56號與延平北路3段口,0,1,2,C03,1,48,2,8,50,3,1
106,1,22,16,6,2,01大同區,大同區承德路3段與民權西路口,0,1,1,C03,1,63,3,8,50,4,4
106,1,22,16,6,2,01大同區,大同區承德路3段與民權西路口,0,1,2,C03,1,63,3,8,50,4,4
106,1,22,16,6,2,01大同區,大同區承德路3段與民權西路口,0,1,3,H02,2,58,2,8,50,4,4
106,2,8,6,33,2,01大同區,大同區鄭州路145號,0,1,1,B03,1,58,3,8,40,3,2
106,2,8,6,33,2,01大同區,大同區鄭州路145號,0,1,2,C03,1,30,2,8,40,3,2
106,9,4,9,10,2,01大同區,大同區民權西路266號,0,3,1,C03,1,17,2,8,50,14,9
106,9,4,9,10,2,01大同區,大同區民權西路266號,0,3,2,C03,1,36,2,8,50,14,9
106,9,4,9,10,2,01大同區,大同區民權西路266號,0,3,3,H02,2,36,2,8,50,14,9
106,9,11,9,48,2,01大同區,大同區延平北路2段與保安街口,0,1,1,A02,1,34,3,8,50,3,1
106,9,11,9,48,2,01大同區,大同區延平北路2段與保安街口,0,1,2,F01,1,18,2,8,50,3,1
106,1,12,10,5,2,01大同區,大同區延平北路2段272巷與安西街口,0,2,1,C03,2,56,2,7,30,4,1
106,1,12,10,5,2,01大同區,大同區延平北路2段272巷與安西街口,0,2,2,C03,1,38,2,7,30,4,1
106,4,20,9,33,2,01大同區,大同區忠孝西路1段與環河北路1段口,0,1,1,B03,1,31,3,7,0,3,1
106,4,20,9,33,2,01大同區,大同區忠孝西路1段與環河北路1段口,0,1,2,C03,1,18,2,7,0,3,1
106,4,12,8,50,2,01大同區,大同區南京西路310號,0,1,1,C03,2,45,3,8,50,14,9
106,4,12,8,50,2,01大同區,大同區南京西路310號,0,1,2,F01,2,64,2,8,50,14,9
106,4,5,19,54,2,01大同區,大同區承德路3段與民族西路口,0,3,2,B01,1,48,2,7,50,4,1
106,4,5,19,54,2,01大同區,大同區承德路3段與民族西路口,0,3,4,,3,0,,7,50,4,1
106,4,23,8,35,2,01大同區,大同區迪化街2段與酒泉街口,0,1,1,C03,1,24,3,7,40,3,1
106,4,23,8,35,2,01大同區,大同區迪化街2段與酒泉街口,0,1,2,C03,2,57,2,7,40,3,1
106,4,23,17,33,2,01大同區,大同區環河北路1段與大稻埕堤外便道口堤外道路,0,3,1,C03,1,26,2,8,30,14,11
106,4,23,17,33,2,01大同區,大同區環河北路1段與大稻埕堤外便道口堤外道路,0,3,2,C03,1,40,2,8,30,14,11
106,4,23,17,33,2,01大同區,大同區環河北路1段與大稻埕堤外便道口堤外道路,0,3,3,H02,2,44,2,8,30,14,11
106,2,14,13,30,2,01大同區,大同區民權西路與蘭州街口,0,1,1,C03,1,29,2,8,50,4,1
106,2,14,13,30,2,01大同區,大同區民權西路與蘭州街口,0,1,2,C03,1,56,3,8,50,4,1
106,2,20,18,0,2,01大同區,大同區南京西路107巷口,0,1,1,C03,1,32,4,8,40,15,20
106,2,20,18,0,2,01大同區,大同區南京西路107巷口,0,1,2,C03,1,28,2,8,40,15,20
106,2,21,6,30,2,01大同區,大同區延平北路3段與昌吉街口,0,3,1,C03,1,59,2,7,50,4,1
106,2,21,6,30,2,01大同區,大同區延平北路3段與昌吉街口,0,3,2,C03,1,15,2,7,50,4,1
106,2,21,6,30,2,01大同區,大同區延平北路3段與昌吉街口,0,3,3,H02,1,17,2,7,50,4,1
106,2,12,23,14,2,01大同區,大同區鄭州路145號中興醫院急診室前,0,1,1,B01,1,67,3,7,50,3,1
106,2,12,23,14,2,01大同區,大同區鄭州路145號中興醫院急診室前,0,1,2,C03,2,22,2,7,50,3,1
106,4,20,10,2,2,01大同區,大同區民族西路182巷,0,1,1,B12,1,42,3,6,50,4,2
106,4,20,10,2,2,01大同區,大同區民族西路182巷,0,1,2,C03,1,23,2,6,50,4,2
106,4,22,10,40,2,01大同區,大同區民權西路108號,0,1,1,C03,1,45,2,6,50,15,20
106,4,22,10,40,2,01大同區,大同區民權西路108號,0,1,2,B03,2,29,3,6,50,15,20
106,2,27,14,50,2,01大同區,大同區承德路2段與平陽街口口,0,1,1,C03,1,28,2,7,50,4,1
106,2,27,14,50,2,01大同區,大同區承德路2段與平陽街口口,0,1,2,B03,1,29,3,7,50,4,1
106,2,27,14,50,2,01大同區,大同區承德路2段與平陽街口口,0,1,3,C03,1,19,3,7,50,4,1
106,2,8,18,3,2,01大同區,大同區錦西街88號,0,1,1,C03,2,31,3,8,50,3,2
106,2,8,18,3,2,01大同區,大同區錦西街88號,0,1,2,H01,2,79,2,8,50,3,2
106,3,7,8,14,2,01大同區,大同區民生西路321號,0,2,1,C03,1,45,2,8,50,14,9
106,3,7,8,14,2,01大同區,大同區民生西路321號,0,2,2,C03,1,32,2,8,50,14,9
106,2,2,22,54,2,01大同區,南京西路與塔城街口(南京西路259號附近),0,1,1,B03,1,56,4,8,0,4,2
106,2,2,22,54,2,01大同區,南京西路與塔城街口(南京西路259號附近),0,1,2,F01,1,9,2,8,0,4,2
106,2,1,9,38,2,01大同區,大同區承德路3段與民族西路口,0,1,1,B12,1,58,4,8,50,4,1
106,2,1,9,38,2,01大同區,大同區承德路3段與民族西路口,0,1,2,C03,2,28,2,8,50,4,1
106,2,4,10,8,2,01大同區,大同區赤峰街41巷,0,1,1,C03,2,50,2,8,30,4,1
106,2,4,10,8,2,01大同區,大同區赤峰街41巷,0,1,2,B12,1,32,3,8,30,4,1
106,2,10,23,40,2,01大同區,大同區忠孝西路2段與塔城街口,0,2,1,C03,1,25,2,8,50,4,1
106,2,10,23,40,2,01大同區,大同區忠孝西路2段與塔城街口,0,2,2,B01,1,43,3,8,50,4,1
106,2,10,23,40,2,01大同區,大同區忠孝西路2段與塔城街口,0,2,3,H02,1,24,2,8,50,4,1
106,2,11,18,10,2,01大同區,大同區西寧北路1巷與西寧北路口,0,1,1,B03,1,35,3,8,50,3,1
106,2,11,18,10,2,01大同區,大同區西寧北路1巷與西寧北路口,0,1,2,C03,1,38,2,8,50,3,1
106,2,12,10,45,2,01大同區,大同區民生西路與延平北路2段口,0,1,1,B01,1,54,3,8,50,4,1
106,2,12,10,45,2,01大同區,大同區民生西路與延平北路2段口,0,1,2,C03,1,36,2,8,50,4,1
106,2,12,18,3,2,01大同區,大同區民權西路與承德路3段口,0,1,1,C03,1,22,2,8,50,4,1
106,2,12,18,3,2,01大同區,大同區民權西路與承德路3段口,0,1,2,H01,1,67,3,8,50,4,1
106,2,15,21,28,2,01大同區,台北橋機車道往三重,0,3,1,C03,2,60,2,8,50,8,11
106,2,15,21,28,2,01大同區,台北橋機車道往三重,0,3,2,C03,1,19,2,8,50,8,11
106,2,15,21,28,2,01大同區,台北橋機車道往三重,0,3,3,H02,2,19,2,8,50,8,11
106,2,16,19,20,2,01大同區,大同區通河西街1段明倫高中後方堤外便道,0,2,1,C03,1,24,2,8,30,3,1
106,2,17,6,5,2,01大同區,大同區民權西路184巷26號與民權西路184巷口,0,1,2,C03,2,54,2,7,30,4,1
106,3,7,19,17,2,01大同區,大同區民族西路與大龍街口,0,1,1,B03,1,56,3,6,50,4,1
106,3,7,19,17,2,01大同區,大同區民族西路與大龍街口,0,1,2,C03,2,27,2,6,50,4,1
106,3,21,10,55,2,01大同區,大同區承德路3段與錦西街口,0,1,1,C03,1,34,4,8,0,5,2
106,3,20,9,0,2,01大同區,大同區酒泉街138號,0,1,1,C03,1,64,4,7,50,14,9
106,3,20,9,0,2,01大同區,大同區酒泉街138號,0,1,2,C03,1,22,2,7,50,14,9
106,1,21,17,6,2,01大同區,大同區錦西街與興城街口,0,2,1,B03,1,69,3,7,50,3,1
106,1,21,17,6,2,01大同區,大同區錦西街與興城街口,0,2,2,C03,1,33,2,7,50,3,1
106,1,21,17,6,2,01大同區,大同區錦西街與興城街口,0,2,3,H02,2,32,3,7,50,3,1
106,1,21,17,6,2,01大同區,大同區錦西街與興城街口,0,2,4,H02,1,5,2,7,50,3,1
106,1,22,10,30,2,01大同區,大同區民族西路與承德路3段口,0,1,1,F01,1,25,2,8,50,4,2
106,1,22,10,30,2,01大同區,大同區民族西路與承德路3段口,0,1,2,B01,1,58,3,8,50,4,2
106,1,30,20,40,2,01大同區,大同區五原路與太原路口,0,1,1,B03,1,51,3,7,50,3,1
106,1,30,20,40,2,01大同區,大同區五原路與太原路口,0,1,2,C03,1,52,2,7,50,3,1
106,2,2,12,40,2,01大同區,大同區民族西路72號,0,1,1,B03,1,63,3,7,0,14,9
106,2,2,12,40,2,01大同區,大同區民族西路72號,0,1,2,C03,2,63,2,7,0,14,9
106,3,21,10,55,2,01大同區,大同區承德路3段與錦西街口,0,1,2,C03,2,52,2,8,0,5,2
106,3,25,19,10,2,01大同區,大同區延平北路2段60巷,0,2,1,B03,1,59,3,6,50,5,2
106,3,25,19,10,2,01大同區,大同區延平北路2段60巷,0,2,2,C03,2,22,2,6,50,5,2
106,3,25,19,10,2,01大同區,大同區延平北路2段60巷,0,2,3,H02,2,23,2,6,50,5,2
106,4,2,13,43,2,01大同區,大同區歸綏街267號,0,1,1,B12,1,53,3,8,50,5,1
106,4,2,13,43,2,01大同區,大同區歸綏街267號,0,1,2,H01,1,74,2,8,50,5,1
106,5,2,19,0,2,01大同區,大同區民權西路127號,0,1,1,C03,2,52,2,8,50,5,2
106,5,2,19,0,2,01大同區,大同區民權西路127號,0,1,2,B03,1,42,3,8,50,5,2
106,2,18,21,59,2,01大同區,大同區重慶北路1段62號,0,1,1,B03,1,106,4,8,50,14,9
106,2,18,21,59,2,01大同區,大同區重慶北路1段62號,0,1,2,C03,1,22,2,8,50,14,9
106,2,19,19,30,2,01大同區,大同區鄭州路與西寧北路口,0,4,1,C03,1,25,2,8,40,4,1
106,2,19,19,30,2,01大同區,大同區鄭州路與西寧北路口,0,4,2,C03,2,42,2,8,40,4,1
106,2,19,19,30,2,01大同區,大同區鄭州路與西寧北路口,0,4,4,H02,2,3,2,8,40,4,1
106,2,19,19,30,2,01大同區,大同區鄭州路與西寧北路口,0,4,3,H02,2,21,2,8,40,4,1
106,2,20,17,0,2,01大同區,大同區民權西路與台北橋口機車道往三重,0,2,1,C03,2,37,2,7,40,8,11
106,2,20,17,0,2,01大同區,大同區民權西路與台北橋口機車道往三重,0,2,2,C03,1,64,2,7,40,8,11
106,1,26,9,27,2,01大同區,大同區台北橋往台北方向,0,1,1,C03,1,53,3,8,40,8,9
106,1,26,9,27,2,01大同區,大同區台北橋往台北方向,0,1,2,C03,2,54,2,8,40,8,9
106,1,26,15,30,2,01大同區,大同區承德路2段與南京西路口,0,2,1,C03,1,38,2,8,50,5,2
106,1,26,15,30,2,01大同區,大同區承德路2段與南京西路口,0,2,2,C03,1,21,3,8,50,5,2
106,1,26,15,30,2,01大同區,大同區承德路2段與南京西路口,0,2,3,C03,2,43,2,8,50,5,2
106,2,2,8,30,2,01大同區,大同區西寧北路與長安西路口,0,2,1,C03,1,30,2,8,40,4,2
106,2,2,8,30,2,01大同區,大同區西寧北路與長安西路口,0,2,2,C03,1,24,2,8,40,4,2
106,5,9,9,27,2,01大同區,大同區環河北路1段與南京西路口堤外便道,0,2,1,B12,1,40,3,6,0,3,2
106,5,9,9,27,2,01大同區,大同區環河北路1段與南京西路口堤外便道,0,2,2,C02,1,34,2,6,0,3,2
106,5,9,9,27,2,01大同區,大同區環河北路1段與南京西路口堤外便道,0,2,3,C03,1,62,2,6,0,3,2
106,5,14,22,25,2,01大同區,大同區民權西路與蘭州街口,0,2,1,C03,1,21,2,8,50,5,1
106,5,14,22,25,2,01大同區,大同區民權西路與蘭州街口,0,2,2,C03,1,24,2,8,50,5,1
106,5,16,0,28,2,01大同區,大同區鄭州路與延平北路1段口,0,3,1,C03,2,24,2,6,40,5,2
106,5,16,0,28,2,01大同區,大同區鄭州路與延平北路1段口,0,3,2,B01,1,49,2,6,40,5,2
106,5,16,0,28,2,01大同區,大同區鄭州路與延平北路1段口,0,3,3,H02,2,36,2,6,40,5,2
106,2,11,17,0,2,01大同區,大同區西寧北路與長安西路口,0,1,1,C03,1,37,3,7,50,4,1
106,2,11,17,0,2,01大同區,大同區西寧北路與長安西路口,0,1,2,C04,2,46,2,7,50,4,1
106,2,15,16,45,2,01大同區,大同區市民大道1段與承德路1段口,0,1,1,B01,1,54,3,8,40,4,2
106,2,15,16,45,2,01大同區,大同區市民大道1段與承德路1段口,0,1,2,C03,1,23,2,8,40,4,2
106,2,22,20,50,2,01大同區,大同區承德路2段與民生西路口,0,2,2,C03,1,18,2,7,0,4,2
106,2,22,20,50,2,01大同區,大同區承德路2段與民生西路口,0,2,3,C03,1,19,2,7,0,4,2
106,2,22,20,50,2,01大同區,大同區承德路2段與民生西路口,0,2,1,E01,1,29,4,7,0,4,2
106,3,2,7,26,2,01大同區,大同區重慶北路3段152巷,0,1,1,C03,1,32,2,8,30,13,22
106,3,2,7,26,2,01大同區,大同區重慶北路3段152巷,0,1,2,B03,1,42,3,8,30,13,22
106,3,3,6,45,2,01大同區,大同區環河北路2段7號旁,0,1,1,B03,1,60,2,8,50,15,13
106,3,3,6,45,2,01大同區,大同區環河北路2段7號旁,0,1,2,B03,1,63,3,8,50,15,13
106,3,3,6,45,2,01大同區,大同區環河北路2段7號旁,0,1,3,B12,1,63,3,8,50,15,13
106,3,3,6,45,2,01大同區,大同區環河北路2段7號旁,0,1,4,B12,1,52,3,8,50,15,13
106,3,13,21,9,2,01大同區,大同區承德路1段75號,0,1,1,C03,1,23,2,6,50,3,2
106,3,13,21,9,2,01大同區,大同區承德路1段75號,0,1,2,B03,1,26,3,6,50,3,2
106,3,14,19,15,2,01大同區,大同區民生西路292號,0,1,1,B03,2,36,3,7,50,14,9
106,3,14,19,15,2,01大同區,大同區民生西路292號,0,1,2,F01,2,63,2,7,50,14,9
106,3,20,12,20,2,01大同區,大同區延平北路2段與民權西路口,0,2,1,C03,1,35,2,7,50,4,2
106,3,20,12,20,2,01大同區,大同區延平北路2段與民權西路口,0,2,2,C03,2,51,2,7,50,4,2
106,2,5,22,34,2,01大同區,大同區鄭州路與環河北路1段口,0,1,1,C03,2,18,2,8,40,5,2
106,2,5,22,34,2,01大同區,大同區鄭州路與環河北路1段口,0,1,2,B03,1,32,3,8,40,5,2
106,2,6,23,34,2,01大同區,大同區重慶北路2段與民生西路口,0,2,1,C03,1,25,2,8,50,5,1
106,2,6,23,34,2,01大同區,大同區重慶北路2段與民生西路口,0,2,2,C03,1,56,2,8,50,5,1
106,2,7,17,36,2,01大同區,大同區延平北路2段79號,0,1,1,B02,1,49,3,8,50,14,9
106,2,7,17,36,2,01大同區,大同區延平北路2段79號,0,1,2,C03,1,46,2,8,50,14,9
106,2,8,8,30,2,01大同區,大同區承德路2段與民權西路口,0,2,1,C03,1,34,2,8,50,5,4
106,2,8,8,30,2,01大同區,大同區承德路2段與民權西路口,0,2,2,C03,1,28,2,8,50,5,4
106,2,6,22,0,2,01大同區,大同區忠孝西路2段與塔城街口,0,1,1,,3,0,,8,0,5,2
106,2,6,22,0,2,01大同區,大同區忠孝西路2段與塔城街口,0,1,2,C03,1,22,2,8,0,5,2
106,2,14,8,21,2,01大同區,大同區延平北路3段61巷口,0,1,1,B12,1,48,3,8,50,3,2
106,2,14,8,21,2,01大同區,大同區延平北路3段61巷口,0,1,2,C03,1,19,2,8,50,3,2
106,2,14,14,47,2,01大同區,大同區民樂街95號,0,1,1,C03,1,58,3,8,50,14,9
106,2,14,14,47,2,01大同區,大同區民樂街95號,0,1,2,C03,2,46,2,8,50,14,9
106,1,27,3,0,2,01大同區,大同區環河北路1段與鄭州路口,0,1,1,B01,1,61,3,8,50,14,7
106,1,27,3,0,2,01大同區,大同區環河北路1段與鄭州路口,0,1,2,B01,1,35,2,8,50,14,7
106,2,3,20,5,2,01大同區,大同區歸綏街194巷,0,1,1,C03,1,45,3,8,50,3,1
106,2,3,20,5,2,01大同區,大同區歸綏街194巷,0,1,2,C03,2,25,2,8,50,3,1
106,2,5,1,40,2,01大同區,大同區民權西路194號,0,2,1,C01,1,25,3,8,50,14,9
106,2,5,1,40,2,01大同區,大同區民權西路194號,0,2,2,C03,2,38,2,8,50,14,9
106,2,5,1,40,2,01大同區,大同區民權西路194號,0,2,3,H02,1,36,2,8,50,14,9
106,2,11,12,20,2,01大同區,大同區鄭州路與鄭州路29巷口,0,1,1,C03,1,38,4,7,40,3,2
106,2,11,12,20,2,01大同區,大同區鄭州路與鄭州路29巷口,0,1,2,C03,2,23,2,7,40,3,2
106,2,11,12,20,2,01大同區,大同區鄭州路與鄭州路29巷口,0,1,3,B03,1,26,4,7,40,3,2
106,2,22,18,45,2,01大同區,大同區延平北路2段276號,0,3,1,C03,1,31,2,6,50,3,1
106,2,22,18,45,2,01大同區,大同區延平北路2段276號,0,3,2,C03,2,47,2,6,50,3,1
106,2,22,18,45,2,01大同區,大同區延平北路2段276號,0,3,3,H02,1,55,2,6,50,3,1
106,2,9,19,36,2,01大同區,大同區重慶北路3段236巷,0,1,1,C03,1,19,2,7,50,4,9
106,2,9,19,36,2,01大同區,大同區重慶北路3段236巷,0,1,2,B03,1,28,4,7,50,4,9
106,2,16,8,42,2,01大同區,大同區鄭州路與西寧北路口,0,2,1,C03,1,25,2,8,0,4,2
106,2,16,8,42,2,01大同區,大同區鄭州路與西寧北路口,0,2,2,C03,2,27,2,8,0,4,2
106,2,21,21,10,2,01大同區,大同區承德路3段與庫倫街口,0,2,1,C03,1,33,2,7,0,4,2
106,2,21,21,10,2,01大同區,大同區承德路3段與庫倫街口,0,2,2,H01,2,56,2,7,0,4,2
106,2,19,9,59,2,01大同區,大同區延平北路4段179巷與迪化街2段口,0,1,1,C03,2,57,2,8,50,4,1
106,2,19,9,59,2,01大同區,大同區延平北路4段179巷與迪化街2段口,0,1,2,B03,1,25,3,8,50,4,1
106,3,14,18,50,2,01大同區,大同區承德路2段209號,0,1,2,C03,2,24,2,8,0,14,9
106,3,14,18,50,2,01大同區,大同區承德路2段209號,0,1,1,C04,1,82,4,8,0,14,9
106,3,14,22,0,2,01大同區,大同區安西街與延平北路2段272巷口口,0,2,1,C03,1,40,3,8,30,4,1
106,3,14,22,0,2,01大同區,大同區安西街與延平北路2段272巷口口,0,2,2,C03,1,18,2,8,30,4,1
106,3,14,22,0,2,01大同區,大同區安西街與延平北路2段272巷口口,0,2,3,H02,2,43,2,8,30,4,1
106,2,15,16,58,2,01大同區,大同區長安西路與塔城街口,0,1,1,B01,1,33,3,8,50,4,1
106,2,15,16,58,2,01大同區,大同區長安西路與塔城街口,0,1,2,C03,1,65,2,8,50,4,1
106,2,15,16,58,2,01大同區,大同區長安西路與塔城街口,0,1,3,A04,1,51,3,8,50,4,1
106,3,1,9,27,2,01大同區,大同區長安西路與西寧北路口,0,1,1,B03,2,57,3,8,50,4,1
106,3,1,9,27,2,01大同區,大同區長安西路與西寧北路口,0,1,2,C03,2,42,2,8,50,4,1
106,2,11,18,0,2,01大同區,大同區民權西路台北橋機車道,0,1,1,C03,1,21,2,8,0,8,11
106,2,11,18,0,2,01大同區,大同區民權西路台北橋機車道,0,1,2,C03,1,41,3,8,0,8,11
